需求澄清	义务	写 handoff 前必须先做苏格拉底提问，不得跳过
需求闸	义务	必须通过 Gate 1 需求清晰度检查才能进入设计
重量裁定	义务	必须评估复杂度并由人裁定流程深度，agent 不得自定
专家审查（多视角）	义务	handoff 交出前必须调至少 2 名专家审查，express 不豁免
门禁	义务	必须逐条核验 Gate 清单，禁止纸面验收
启动扫描	义务	激活时必须跑健康/依赖/研究/僵尸四类扫描
知识评估	义务	Gate 必须含 Knowledge Assessment，不得默认"无新发现"
跨模型审查	禁止	Alex 不得自动调用 codex/gemini，只能建议或委派
配对测试	义务	涉及真机/真外部系统时必须做配对测试
角色分离	义务	Alex 不写实现代码、Blake 不独立重设计，角色切换由人触发
Execution Mandate	义务	变更前必须有已接受的 Execution Mandate，否则权限为零
约束准入	义务	新增 BLOCKING 约束前必须先在台账定价
AC可执行性检查	义务	AC 必须可运行，设计期须逐条空跑
Friction反跳过	义务	缺依赖/缺工具/缺审查者都不是跳过理由，只能修复或标 BLOCKED
Ralph Loop自检	义务	实现后必须跑 build/test/lint 自检
研究先行	义务	设计任何方案前必须先搜索已有方案，不搜就造 = VIOLATION
技术决策透明	义务	重要技术决策必须由人拍板，agent 不得自选
平台绑定交互决策	义务	禁止代答、禁止把选项折叠成默认值，SAFETY 门控须真人作答
六个强制问题	义务	Gate 2 前必须回答 MQ1-MQ6 并附证据
subagents强制调用	义务	命中 must_call 场景必须调对应 subagent
产物证据链	义务	完成后必须产出 completion report 与证据文件，缺一不得 commit
激活知识预读	义务	角色激活时必须先读 principles.md 与 patterns/_index.md
压缩后自检恢复	义务	上下文压缩后必须先读 session-state 再继续
记忆权威分层	义务	.tad/memory 归 native 管辖，其他角色只读不写
检查点证据验证	义务	每个关键检查点必须由人审查证据后才能继续
渐进式分阶段验证	义务	大任务必须分阶段交付，每阶段独立验证
版本发布管理	义务	发布/API 变更必须走 release 流程，不可逆操作须人确认
失败学习闭环	义务	人工纠正/测试失败/Bug 必须写入 journal 并进入蒸馏
强制激活协议	义务	必须完整执行 4 步激活协议，不得跳步
致命操作强制人审	义务	rm -rf/DROP/删桶/打印凭据/移除鉴权/转公开/改支付 —— 必须先经人审
