ac	status	detail
AC-P5.1-a	PASS	gate4_delta in template frontmatter
AC-P5.1-b	PASS	step7d body contains gate4_delta (4 hits)
AC-P5.3-a	PASS	4 reasons present (5 match lines)
AC-P5.3-b	PASS	cancel: (1) + cancel_protocol (1)
AC-P5.3-d	PASS	forbidden_implementations present
AC-P5.4-a	PASS	step4d references trace-digest (2 hits)
AC-P5.2-a	PASS	askuser-capture.sh executable
AC-P5.2-b	PASS	PostToolUse AskUserQuestion entry present
AC-P5.2-c	PASS	10/10 fixtures PASS
AC-P5.2-d	PASS	median=46 p95=59 (target <50/<100)
AC-P5.2-e	PASS	no SECRET leak in decisions JSONL
AC-P5.4-d	PASS	5/5 fixtures PASS
AC-P5.5-a	PASS	string-form annotation present
AC-P5.5-b	PASS	all str (homogeneous)
AC-P5.6-a	PASS	3 playground references in ADR action
AC-P5.7-a	PASS	0 hits
AC-P5.7-b	PASS	file + Warm Palette + 2 Grounded/Revalidated lines
AC-P5.8-a	PASS	h2 section present
AC-P5.8-b	PASS	≥2 + 项目/project text present
AC-G1	PASS	permissions.deny.length = 0
AC-G2	FAIL	5 non-exit-0 lines
AC-G3	PASS	no fail-closed token
