ac	status	detail
AC-P6A-1-a	PASS	1 hits
AC-P6A-1-c	PASS	step1c < step1d < step2
AC-P6A-2-a	PASS	1 hits
AC-P6A-2-b	PASS	7 references
AC-P6A-2-c	PASS	4 substitution mentions
AC-P6A-2-d	PASS	2 references
AC-P6A-3-a	PASS	5 header mentions
AC-P6A-3-b	PASS	3 mentions
AC-P6A-4-a	PASS	1 DISTINCT_COUNT lines
AC-P6A-4-b	PASS	exactly 1 WARN_REVIEWER_COUNT=1 line
AC-P6A-4-c	PASS	1 subs
AC-P6A-4-d	PASS	no exit 3+ in script
AC-P6A-5-a	PASS	3 PASS markers
AC-P6A-6-a	PASS	5 PASS markers
AC-G1	PASS	permissions.deny.length=0
AC-G2	PASS	no "deny" literal
AC-G3	PASS	no fail-closed
AC-P6A-1-b	PASS	exactly 5 MUST NOT items (post-fix)
