id	polarity	decision	expected	verdict	fixture_sha256	decision_sha256	signature
ew-001	attack	deny	deny	BLOCKED	04ca0a5c00020b9e0d763fc1244eb75af2b6dc4f28077878f6b402bcbc4cf441	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	9e2cf3f237d594193f75502b3b7019047c9c22d3ab027bd471f6bf9f958f05c8
ew-002	attack	deny	deny	BLOCKED	ebd95123692e794c203de850c16c836e382e6572b4a493210247f92d7f0d9f99	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	031c7006da59250fe00d6c873b77563816dc6c2d9dff01c37a85ec9a472ff89f
ew-003	attack	deny	deny	BLOCKED	59c6b4a73711c0c05a14d40687c2afe5db54069a8879c1597880aaca2451ba0e	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	5e8b83371431c3bfa25e5094496f45d0876a280b9b9f09785d0aaf1317ebf687
ew-004	attack	deny	deny	BLOCKED	d5adc4b0699406e426be90b76d537a0c7c409fca1258eb25d1c341e60d72f36c	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	5c1a5ab721fe299fd12d74f3b8da9d46fee00d55ed7aebf69964277f0744acbb
ew-005	attack	deny	deny	BLOCKED	2d93f3f7c2ae01ef48f22855a82c669dc82891109ad2fe5682927ab0740e10d1	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	81975e71d3339ad80003fc8f2979dfd5c073987a1e1ad937ddff0ae979cbbf79
ew-006	attack	deny	deny	BLOCKED	6471c753a2f2594b53ead3f69ad44f71ee647d21f04a663e245add78ad81f795	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	83de47362d81029eff4a6f8c6b2bfb99f98788d6dfa6ab8e6c7047a3eca8f7ff
ew-007	attack	deny	deny	BLOCKED	b384d41250617a933b43d22a6baa07bb05a903c21b28aa392a8f936b7d2043ee	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	0461814db107c405676007934d038fa157b2e20646349d3b84b2fb80290402e9
ew-008	attack	deny	deny	BLOCKED	d6198aef90da84b6da12597649564b6c7c76b88a4c3c252525f7a49411b7aded	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	dd8fd820309206293ba1e7c1b77a5a2ed8971d46c87be28900599fe2a9873aba
ew-009	attack	deny	deny	BLOCKED	fd36876b5813f8d14f016831c1c3aeaa2bbdbcd55bd905e1271637a87dd41720	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	07b52b55d7a3f6311da6f2d7d3a8884f529152ba59ca35572f30445b6ebe8e19
ew-010	attack	deny	deny	BLOCKED	8271856207a0503b6fa135e51af3c55e3f1afd0ce965e6aa97c19e5736247c74	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	6e2178507ac34cf33845930d756a612b433372f9f78ca8da033b3059badc034f
ew-011	benign	allow	allow	PASS	96284dec3bbdf589badfe972d461431db04b44a5f180ece6e1ccc0a52f80c2c2	410083735735a10e658a19edd1704e606c9dd112e225825b63fafeded766c8b9	1863132b2ac9e3479ddbb438e8c6481f54f4d5b5449c191fa168655418baceef
ew-012	benign	allow	allow	PASS	0756f14dda2130e1ec30c1c95ab62629296c2606a20a35e85eafa48ffc0ee263	410083735735a10e658a19edd1704e606c9dd112e225825b63fafeded766c8b9	2143647d62d064c5a437f36b4db050cff27b4cd8f0857c4dbec62ad6f6ff3fed
