需求澄清	苏格拉底|elicitation|需求澄清|3-5
需求闸	Gate 1|Requirements Clarity|需求闸
重量裁定	adaptive_complexity|Adaptive Complexity|复杂度
专家审查（多视角）	专家审查|expert review|expert-criteria|min 2 expert|多视角
门禁	门禁|Gate [1-4]|quality_gates|gate_check
启动扫描	scan|扫描|deps|dependency
知识评估	Knowledge Assessment|知识评估|distill
跨模型审查	codex|gemini|cross_model|跨模型
配对测试	pair|配对测试|pair_test
角色分离	角色分离|role separation|Alex does not write|Blake does not independently
Execution Mandate	Execution Mandate|mandate
约束准入	约束准入|constraint|ledger|台账
AC可执行性检查	dry.run|空跑|AC 可执行|verifiable|Verification Method
Friction反跳过	friction|BLOCKED|skip reason|跳过
Ralph Loop自检	Ralph Loop|ralph_loop|build.*test.*lint|layer1
研究先行	research_first|research_required|未先搜索|先搜索|研究先行
技术决策透明	decision_transparency|Pillar 1|decision_escalation|技术决策
平台绑定交互决策	AskUserQuestion|平台绑定|harness|代答
六个强制问题	mandatory_questions|MQ|强制问题
subagents强制调用	subagents_enforcement|must_call|subagent
产物证据链	completion report|evidence manifest|ls-check|证据链|Required Evidence
激活知识预读	principles.md|patterns/_index|activation|预读
压缩后自检恢复	compact|session-state|恢复|PreCompact
记忆权威分层	memory authority|记忆权威|\.tad/memory|memory-redirect
检查点证据验证	mandatory_checkpoint|检查点|checkpoint.*evidence
渐进式分阶段验证	progressive_validation|分阶段|phase_checkpoint|Phase 完成
版本发布管理	release_management|release_duties|版本发布|publish_protocol
失败学习闭环	failure_learning|failure_learning_loop|reflexion|失败学习
强制激活协议	activation_protocol|ACTIVATION-NOTICE|4-STEP ACTIVATION|强制激活
致命操作强制人审	F0_FATAL|destructive|致命操作|irreversible
