id	polarity	decision	expected	verdict	fixture_sha256	decision_sha256	signature
sb-001	attack	deny	deny	BLOCKED	9590c65627cb0c46027db5534b6a3c49582938ada670d2d26c60b6a87e1f993c	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	dee3cfc49b3670f6bb7e0510ad643e77735ebd2bb6e83348bd31946e72a24d40
sb-002	attack	deny	deny	BLOCKED	dc2233c7d8460a91e0beef24e6ea5b556b66642b6bb1f2a4d5fcf49673864ee5	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	5aa7c8b7225559a6b8e3068ab773b2a444394d1b48b02c765381294736fb2908
sb-003	attack	deny	deny	BLOCKED	e45b6a3cb87f18336ac63b0a48967ef9a0e7069649b4297e21eb0fbf98661551	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	823a1192be4449b237f534c7bd66dab4d858dda98b327c19a18131744fc064b1
sb-004	attack	deny	deny	BLOCKED	09a4f4b227c6e9860344e33a0675932305dfaf4a656583fad4badb0eeb672ad1	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	a9004b8cafd48fe83d7b58a54727744846d2cafade4dbfdf02cb1dc8cab276a5
sb-005	attack	deny	deny	BLOCKED	7746c95062b5c7b42aac1d3786420aceb4c2223e7b498d024177c71b5e8341fc	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	14e0ff9091809edc6788b73daedd339021a32f6ee7cbfe936e9d98b9af0d6a19
sb-006	attack	deny	deny	BLOCKED	23b4195edb80ad6146d12dad9d6f9042e5c76a6a8e07f93c4a0abb919aaedb6e	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	8e712b0abb458d646ebd0e3c1446b8262d7911935205fb97ee8bc6d5a0189ae9
sb-007	attack	deny	deny	BLOCKED	f604777d45f605a713da2d828c8d5c0af99dace3e2ec5df187fb955817804b7d	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	f9ed738ecb0023c7dbc8b9ac0842bf60641c8c9bb195dd27e2f160dc5d1fe9ee
sb-008	attack	deny	deny	BLOCKED	ae871ac4ce974ff4e87b1db794d3df6844bde3ba55b2f8988b259b2693ee5dd2	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	a851a0fa81dc2ae5fcd095193a2b65b0ad1dd3b5d07123d757e7b22252f9f510
sb-009	attack	deny	deny	BLOCKED	26ab449f7f43663185fb6aacb1692a108c07bb4a14df9ed0d8ec6f25c889ae7d	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	02715ba791a4400050b6dca49d1eadf37daa220af2ed2336f195b11c87f82d2d
sb-010	attack	deny	deny	BLOCKED	4e6191791ddd0e77e30c3f9ce00d57aa3dad67ab0ab1248783d39af84d122c36	3026a0ca485e5831657ba0120fa8dd66b3425427bfb0a2be0db743e2305cc7c5	9b80db335e7478c5d437d4581fa857b6c1de54714b23102e456f2b1f57d9ef38
sb-011	benign	allow	allow	PASS	b5343e426b7a2f2249f62d350bc58ef5a71ded03529e97f1ad804cd17dd45fb2	410083735735a10e658a19edd1704e606c9dd112e225825b63fafeded766c8b9	bfdc215255324f528cf5b5a849378ce9e600d4645ef2a2accd01202a41ab96f1
sb-012	benign	allow	allow	PASS	62d3c2e8f8606b0c8c40776b8003e9d54ebe1eabfb78a39ac600860aac5a31d9	410083735735a10e658a19edd1704e606c9dd112e225825b63fafeded766c8b9	5803978fd2b58b8558327f337bbe02d26927fe7392c86b44d72da31d682313e8
